1019320,愛果,あいか,http://pics.dmm.co.jp/mono/actjpgs/aika4.jpg,----,----,----,,,,,----,----
1008423,愛内ゆず,あいうちゆず,http://pics.dmm.co.jp/mono/actjpgs/aiuti_yuzu.jpg,----,----,----,,,,,----,----
1026935,愛香まゆ,あいかまゆ,http://pics.dmm.co.jp/mono/actjpgs/aika_mayu.jpg,----,----,----,166,88,59,86,----,----
8888,愛香,あいか,http://pics.dmm.co.jp/mono/actjpgs/aika.jpg,----,----,----,,,,,----,----
5259,相川真由,あいかわまゆ,http://pics.dmm.co.jp/mono/actjpgs/aikawa_mayu.jpg,----,----,----,,,,,----,----
234,愛川智佐,あいかわちさ,http://pics.dmm.co.jp/mono/actjpgs/aikawa_tisa.jpg,----,----,----,,,,,----,----
229,愛川ひな,あいかわひな,http://pics.dmm.co.jp/mono/actjpgs/aikawa_hina.jpg,----,----,----,,83,57,85,----,----
8900,相川優菜,あいかわゆうな,http://pics.dmm.co.jp/mono/actjpgs/aikawa_yuuna.jpg,1984年9月25日,てんびん座,A,,84,59,83,----,お菓子づくり、ネイルアート
2047,相川未稀,あいかわみき,http://pics.dmm.co.jp/mono/actjpgs/aikawa_miki.jpg,1979年1月23日,みずがめ座,A,,80,62,85,----,料理、カラオケ
1027129,愛川ななみ,あいかわななみ,http://pics.dmm.co.jp/mono/actjpgs/aikawa_nanami.jpg,----,----,----,,,,,----,----
1036944,愛川はる,あいかわはる,http://pics.dmm.co.jp/mono/actjpgs/aikawa_haru.jpg,----,----,----,,,,,----,----
4857,愛川さち,あいかわさち,http://pics.dmm.co.jp/mono/actjpgs/aikawa_sati.jpg,----,----,----,,88,58,80,----,----
228,愛川ひかる,あいかわひかる,http://pics.dmm.co.jp/mono/actjpgs/aikawa_hikaru.jpg,----,----,----,,,,,----,----
1037568,Ai,あい,http://pics.dmm.co.jp/mono/actjpgs/ai.jpg,----,----,----,,,,,----,----
1001201,愛川みう,あいかわみう,http://pics.dmm.co.jp/mono/actjpgs/aikawa_miu.jpg,1988年12月24日,やぎ座,O,162,94,58,86,千葉県,ショッピング、体が柔らかいこと
1036214,藍川なぎさ,あいかわなぎさ,http://pics.dmm.co.jp/mono/actjpgs/aikawa_nagisa.jpg,----,----,----,155,80,63,85,----,----
1027415,愛川未来,あいかわみく,http://pics.dmm.co.jp/mono/actjpgs/aika_miku.jpg,----,----,----,154,84,57,88,----,----
1034870,相川潤,あいかわじゅん,http://pics.dmm.co.jp/mono/actjpgs/aikawa_zyun.jpg,1996年2月23日,うお座,----,,85,57,83,----,----
4434,相川まなみ,あいかわまなみ,http://pics.dmm.co.jp/mono/actjpgs/aikawa_manami.jpg,----,----,----,,93,60,88,----,----
231,愛川香織,あいかわかおり,http://pics.dmm.co.jp/mono/actjpgs/aikawa_kaori.jpg,1976年9月27日,てんびん座,----,168,86,60,85,----,お菓子づくり
2044,相川みほ,あいかわみほ,http://pics.dmm.co.jp/mono/actjpgs/aikawa_miho.jpg,----,----,----,,,,,----,----
16930,愛川紗季,あいかわさき,http://pics.dmm.co.jp/mono/actjpgs/aikawa_saki2.jpg,1984年4月19日,おひつじ座,O,170,86,58,86,千葉県,ショッピング、お菓子作り
1032111,あいか莉乃,あいかりの,http://pics.dmm.co.jp/mono/actjpgs/aika_rino.jpg,----,----,----,,,,,----,----
14603,相川奈々,あいかわなな,http://pics.dmm.co.jp/mono/actjpgs/aikawa_nana.jpg,1984年7月15日,かに座,B,168,86,60,90,----,音楽鑑賞、料理
1004850,相内しおり,あいうちしおり,http://pics.dmm.co.jp/mono/actjpgs/aiuti_siori.jpg,1990年11月6日,さそり座,B,161,85,58,88,新潟県,手芸、裁縫、料理
29817,愛川セイラ,あいかわせいら,http://pics.dmm.co.jp/mono/actjpgs/aikawa_seira.jpg,----,----,----,163,93,60,87,----,----
1019321,相内つかさ,あいうちつかさ,http://pics.dmm.co.jp/mono/actjpgs/aiuti_tukasa.jpg,----,----,----,162,100,64,93,----,----
26617,愛内あみ,あいうちあみ,http://pics.dmm.co.jp/mono/actjpgs/aiuti_ami.jpg,1987年12月15日,いて座,----,152,92,59,88,静岡県,音楽鑑賞
1036804,藍川美夏,あいかわみか,http://pics.dmm.co.jp/mono/actjpgs/aikawa_mika.jpg,----,----,----,,,,,----,----
4537,愛内るい,あいうちるい,http://pics.dmm.co.jp/mono/actjpgs/aiuti_rui.jpg,1982年8月8日,しし座,O,154,83,60,85,----,料理
1018147,あいかりん,あいかりん,http://pics.dmm.co.jp/mono/actjpgs/aikarin.jpg,1993年11月3日,さそり座,----,158,80,60,82,----,----
1003963,愛内まほ,あいうちまほ,http://pics.dmm.co.jp/mono/actjpgs/aiuti_maho.jpg,----,----,----,,,,,----,----
